,fx,fy,fz,rx,ry,rz,svm
0,2.265625,-3.9140625,1.78125,133.9111328125,318.78662109375,-59.5703125,4.86063714517256
1,2.1015625,-3.99609375,1.20703125,167.48046875,298.64501953125,-49.6826171875,4.673569796062949
2,1.99609375,-3.84375,0.703125,182.9833984375,282.40966796875,-31.55517578125,4.38784560882833
3,1.60546875,-3.46484375,0.31640625,185.9130859375,278.4423828125,-10.7421875,3.8318122388994595
4,0.94921875,-2.79296875,0.24609375,194.39697265625,277.52685546875,2.5634765625,2.960110269503011
5,0.43359375,-2.08203125,0.48046875,212.890625,273.86474609375,8.60595703125,2.1802999531583236
6,0.1953125,-1.2734375,0.828125,236.328125,266.05224609375,8.7890625,1.5315289924410507
7,-0.12109375,-0.6484375,1.1796875,251.40380859375,253.2958984375,5.7373046875,1.351590724055016
8,-0.40234375,-0.09375,1.56640625,251.28173828125,232.177734375,5.79833984375,1.6199685477511978
9,-0.51171875,0.37109375,1.625,240.41748046875,208.49609375,3.7841796875,1.7436145360688597
10,-0.484375,0.6640625,1.35546875,226.74560546875,187.01171875,-0.732421875,1.5852109250058215
11,-0.61328125,0.58203125,1.16015625,217.34619140625,171.20361328125,-6.9580078125,1.4355614901466909
12,-0.67578125,0.51171875,0.94921875,219.54345703125,158.447265625,-10.7421875,1.2726164435149687
13,-0.48828125,0.3515625,0.765625,226.62353515625,152.52685546875,-9.94873046875,0.9737537733599868
14,-0.17578125,0.17578125,0.71875,230.224609375,158.63037109375,-5.37109375,0.7605259089624264
15,0.03125,0.00390625,0.71484375,227.35595703125,174.98779296875,1.03759765625,0.7155371466270113
16,0.00390625,-0.18359375,0.82421875,217.83447265625,192.626953125,7.6904296875,0.8444278960809428
17,0.00390625,-0.328125,0.890625,207.3974609375,202.33154296875,16.54052734375,0.9491544474104636
18,0.09375,-0.4921875,1.01953125,200.01220703125,204.2236328125,22.8271484375,1.1359936475979135
19,0.02734375,-0.57421875,1.12109375,194.580078125,203.91845703125,29.052734375,1.2598912849149673
20,-0.0625,-0.62109375,1.1015625,190.91796875,201.2939453125,39.4287109375,1.266137290223818
21,-0.23046875,-0.484375,1.13671875,187.92724609375,194.3359375,47.79052734375,1.2569266096129579
22,-0.2734375,-0.31640625,1.12109375,184.4482421875,184.02099609375,54.87060546875,1.1965501150116424
23,-0.43359375,-0.046875,1.0859375,189.88037109375,175.537109375,70.86181640625,1.170239744484143
24,-0.55859375,0.22265625,1.12109375,193.9697265625,158.99658203125,80.99365234375,1.2721847269528854
25,-0.515625,0.5234375,1.12890625,195.86181640625,138.97705078125,83.3740234375,1.3469540743174255
26,-0.4375,0.74609375,1.13671875,194.39697265625,122.25341796875,75.8056640625,1.4283527751891776
27,-0.23046875,0.9375,1.10546875,187.8662109375,114.1357421875,61.1572265625,1.4676795467516488
28,-0.2421875,1.12109375,1.171875,180.72509765625,113.09814453125,48.583984375,1.6397551637577825
29,-0.17578125,1.23046875,1.28125,166.748046875,110.595703125,35.7666015625,1.7850921419013992
30,-0.12109375,1.2421875,1.375,148.01025390625,111.51123046875,21.3623046875,1.8569648573533406
31,-0.16015625,1.2421875,1.4140625,129.45556640625,115.3564453125,6.34765625,1.8889818854283813
32,-0.1015625,1.1328125,1.44140625,113.1591796875,120.54443359375,-7.75146484375,1.8360912502110462
33,-0.05078125,0.953125,1.484375,97.5341796875,127.99072265625,-21.6064453125,1.7647648969768077
34,-0.0625,0.7890625,1.44140625,82.1533203125,138.0615234375,-34.3017578125,1.6444384623467405
35,-0.08203125,0.60546875,1.45703125,65.00244140625,150.7568359375,-42.54150390625,1.5799562008738368
36,-0.12890625,0.48046875,1.4140625,48.095703125,161.80419921875,-48.828125,1.4990129402116164
37,-0.234375,0.3125,1.25390625,32.28759765625,174.25537109375,-55.6640625,1.3133425959794582
38,-0.328125,0.16015625,0.9921875,19.22607421875,189.02587890625,-61.70654296875,1.0572379463466643
39,-0.46484375,0.0703125,0.6796875,10.8642578125,202.69775390625,-66.650390625,0.8264373280694444
40,-0.46484375,0.015625,0.4140625,9.033203125,210.693359375,-69.88525390625,0.622713101231468
41,-0.47265625,0.03125,0.31640625,12.87841796875,212.0361328125,-71.47216796875,0.5696432288749906
42,-0.5,0.078125,0.296875,20.263671875,206.9091796875,-71.2890625,0.5867182298599558
43,-0.5546875,0.1796875,0.375,30.8837890625,197.93701171875,-70.1904296875,0.6932465797337193
44,-0.53515625,0.33984375,0.42578125,41.68701171875,187.56103515625,-71.10595703125,0.7636593868863837
45,-0.51953125,0.4765625,0.44921875,49.98779296875,178.89404296875,-73.05908203125,0.8359557533053857
46,-0.48046875,0.62109375,0.50390625,52.55126953125,173.15673828125,-74.03564453125,0.9330215296576427
47,-0.453125,0.69921875,0.53515625,49.072265625,168.5791015625,-70.37353515625,0.990263266960168
48,-0.4453125,0.72265625,0.51953125,40.0390625,161.4990234375,-66.46728515625,0.9952125391326594
49,-0.47265625,0.7109375,0.5625,25.93994140625,150.57373046875,-65.5517578125,1.0223709256284201
50,-0.5078125,0.703125,0.58984375,12.3291015625,140.625,-58.9599609375,1.048891772393755
51,-0.53125,0.63671875,0.68359375,3.35693359375,128.60107421875,-52.55126953125,1.0746802985728476
52,-0.55859375,0.48046875,0.7890625,0.3662109375,120.9716796875,-46.630859375,1.0795817829937087
53,-0.66015625,0.3515625,0.8203125,2.38037109375,120.1171875,-40.52734375,1.1100968712128516
54,-0.75,0.27734375,0.703125,2.25830078125,117.85888671875,-38.75732421875,1.0648024799412623
55,-0.7890625,0.22265625,0.63671875,-3.47900390625,111.02294921875,-38.75732421875,1.0380781286453709
56,-0.75390625,0.1484375,0.59375,-13.73291015625,103.21044921875,-39.97802734375,0.9710547809960633
57,-0.6796875,0.05078125,0.55078125,-22.4609375,100.341796875,-41.19873046875,0.8763069201822926
58,-0.61328125,-0.0546875,0.55859375,-27.34375,101.25732421875,-44.37255859375,0.8313432454749813
59,-0.55078125,-0.15234375,0.53515625,-27.03857421875,100.28076171875,-45.95947265625,0.7829181409506919
60,-0.5546875,-0.2265625,0.51171875,-23.8037109375,94.54345703125,-43.5791015625,0.7879497878444175
61,-0.5546875,-0.16015625,0.38671875,-18.5546875,81.54296875,-41.32080078125,0.694895415635961
62,-0.62890625,-0.1953125,0.328125,-15.80810546875,66.40625,-35.33935546875,0.7357554346182653
63,-0.625,-0.13671875,0.30859375,-11.16943359375,52.490234375,-28.25927734375,0.7103148028449252
64,-0.53125,0.0,0.25,-3.84521484375,38.63525390625,-24.35302734375,0.587134194626748
65,-0.48828125,0.07421875,0.2265625,4.08935546875,28.25927734375,-20.93505859375,0.5433760837204514
