,fx,fy,fz,svm
0,0.01171875,-0.78515625,-0.35546875,0.8619545801503624
1,-0.01171875,-0.765625,-0.38671875,0.857828864825686
2,-0.02734375,-0.7421875,-0.359375,0.8250699100350906
3,-0.02734375,-0.7265625,-0.3984375,0.8290917853148483
4,-0.04296875,-0.7421875,-0.41015625,0.8490681645468019
5,-0.046875,-0.734375,-0.421875,0.8482230967587477
6,-0.0546875,-0.73046875,-0.4375,0.8532183585594092
7,-0.04296875,-0.73046875,-0.4375,0.8525474521709188
8,-0.03515625,-0.7421875,-0.46484375,0.8764462099777572
9,-0.0078125,-0.77734375,-0.4609375,0.9037630882740025
10,0.0078125,-0.8125,-0.46875,0.938053222187446
11,0.015625,-0.87109375,-0.4296875,0.9714318347523476
12,0.04296875,-0.83984375,-0.4375,0.9479399178696005
13,0.06640625,-0.87109375,-0.44140625,0.9788021193618185
14,0.0703125,-0.8671875,-0.4296875,0.9703552728092686
15,0.078125,-0.87890625,-0.4296875,0.9814331661250869
16,0.0703125,-0.86328125,-0.4375,0.9703631352528869
17,0.05078125,-0.86328125,-0.41796875,0.9604848400311623
18,0.05859375,-0.84765625,-0.4375,0.9556990089474431
19,0.04296875,-0.8125,-0.45703125,0.933209583616202
20,0.05078125,-0.80859375,-0.4765625,0.9399544692679933
21,0.04296875,-0.7734375,-0.453125,0.8974264011649159
22,0.03515625,-0.7578125,-0.4765625,0.8958948395188815
23,0.01953125,-0.7265625,-0.4609375,0.8606613242379737
24,0.01953125,-0.69921875,-0.48046875,0.8486097747520279
25,0.01953125,-0.67578125,-0.49609375,0.8385527868698472
26,0.00390625,-0.69921875,-0.49609375,0.8573395639591629
27,0.0078125,-0.703125,-0.50390625,0.8650822559562256
28,0.01171875,-0.70703125,-0.4921875,0.8615561808346424
29,0.0,-0.7265625,-0.48828125,0.8753922809277064
30,0.00390625,-0.76171875,-0.49609375,0.9090322995799915
31,-0.00390625,-0.765625,-0.48046875,0.9039065876187787
32,0.0,-0.78125,-0.47265625,0.9131021263604978
33,0.0,-0.80078125,-0.4765625,0.9318596604413202
34,0.00390625,-0.79296875,-0.46484375,0.9191813799135008
35,0.0234375,-0.8046875,-0.4765625,0.9355122155636184
36,0.0234375,-0.796875,-0.47265625,0.9268025748212575
37,0.046875,-0.8046875,-0.5,0.9485353120897767
38,0.04296875,-0.7890625,-0.515625,0.9435756901318582
39,0.05859375,-0.77734375,-0.53515625,0.94556266059801
40,0.046875,-0.78515625,-0.5625,0.9669921677754492
41,0.0625,-0.79296875,-0.5703125,0.978755350500222
42,0.0625,-0.76953125,-0.5859375,0.9692302866877471
43,0.0390625,-0.77734375,-0.59375,0.9789424125403458
44,0.03515625,-0.77734375,-0.59375,0.9787943247067409
45,0.01953125,-0.765625,-0.58984375,0.966684415807778
46,0.0,-0.765625,-0.6015625,0.973683255494953
47,-0.01953125,-0.7578125,-0.6015625,0.9677492941299738
48,-0.05859375,-0.75390625,-0.60546875,0.9687106216795022
49,-0.0703125,-0.76171875,-0.59375,0.9683482659961821
50,-0.0859375,-0.765625,-0.59765625,0.975069170723448
51,-0.10546875,-0.765625,-0.6015625,0.9793787516879323
